"Category","Description","Data.Carbohydrate","Data.Fiber","Data.Kilocalories","Data.Protein","Data.Sugar Total","Data.Water","Data.Fat.Saturated Fat","Data.Fat.Total Lipid"
"MILK","MILK,CHOC,FLUID,COMM,",10.34,0.800000012,83,3.17,9.539999962,82.3,2.104,3.39
"MILK","MILK,CHOC,FLUID,COMM,RED FAT",12.13,0.699999988,76,2.99,9.550000191,82.17,1.177,1.9
"MILK","MILK,CHOC,FLUID,COMM,LOWFAT",10.44,0.5,63,3.24,9.93999958,84.5,0.616,1
"MILK","MILK,CHOC BEV,HOT COCOA,HOMEMADE",10.63,1,77,3.52,9.670000076,82.57,1.431,2.33
"MILK","MILK,GOAT,FLUID",4.45,0,69,3.56,4.449999809,87.03,2.667,4.14
"MILK","MILK,HUMAN,MATURE,FLUID",6.89,0,70,1.03,6.889999866,87.5,2.009,4.38
"MILK","MILK,INDIAN BUFFALO,FLUID",5.18,0,97,3.75,0,83.39,4.597,6.89
"MILK","MILK,SHEEP,FLUID",5.36,0,108,5.98,0,80.7,4.603,7
"MILK SHAKES","MILK SHAKES,THICK CHOC",21.15,0.300000012,119,3.05,20.85000038,72.2,1.681,2.7
"MILK SHAKES","MILK SHAKES,THICK VANILLA",17.75,0,112,3.86,17.75,74.45,1.886,3.03
"WHEY","WHEY,ACID,FLUID",5.12,0,24,0.76,5.119999886,93.42,0.057,0.09
"WHEY","WHEY,ACID,DRIED",73.45,0,339,11.73,73.44999695,3.51,0.342,0.54
"WHEY","WHEY,SWEET,FLUID",5.14,0,27,0.85,5.139999866,93.12,0.23,0.36
"WHEY","WHEY,SWEET,DRIED",74.46,0,353,12.93,74.45999908,3.19,0.684,1.07
"YOGURT","YOGURT,PLN,WHL MILK,8 GRAMS PROT PER 8 OZ",4.66,0,61,3.47,4.659999847,87.9,2.096,3.25
"YOGURT","YOGURT,PLN,LOFAT,12 GRAMS PROT PER 8 OZ",7.04,0,63,5.25,7.039999962,85.07,1,1.55
"YOGURT","YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ",7.68,0,56,5.73,7.679999828,85.23,0.116,0.18
"YOGURT","YOGURT,VANILLA,LOFAT,11 GRAMS PROT PER 8 OZ",13.8,0,85,4.93,13.80000019,79,0.806,1.25
"YOGURT","YOGURT,FRUIT,LOFAT,9 GRAMS PROT PER 8 OZ",18.64,0,99,3.98,18.63999939,75.3,0.742,1.15
"YOGURT","YOGURT,FRUIT,LOFAT,10 GRAMS PROT PER 8 OZ",19.05,0,102,4.37,19.04999924,74.48,0.697,1.08
"YOGURT","YOGURT,FRUIT,LOFAT,11 GRAMS PROT PER 8 OZ",18.6,0,105,4.86,0,74.1,0.909,1.41
"EGG","EGG,WHOLE,RAW,FRESH",0.77,0,143,12.58,0.769999981,75.84,3.099,9.94
"EGG","EGG,WHITE,RAW,FRESH",0.73,0,48,10.9,0.709999979,87.57,0,0.17
"EGG","EGG,YOLK,RAW,FRSH",3.59,0,317,15.86,0.560000002,52.31,9.551,26.54
"EGG","EGG,YOLK,RAW,FROZEN",1.15,0,303,15.5,0.50999999,56.2,7.82,25.6
"EGG","EGG,YOLK,RAW,FRZ,SUGARED",10.8,0,307,13.8,0,51.25,6.97,22.75
"EGG","EGG,WHL,CKD,FRIED",0.88,0,196,13.63,0.829999983,69.13,4.294,15.31
"EGG","EGG,WHL,CKD,HARD-BOILED",1.12,0,155,12.58,1.120000005,74.62,3.267,10.61
"EGG","EGG,WHOLE,COOKED,OMELET",0.68,0,157,10.59,0.649999976,75.87,3.296,12.03
"EGG","EGG,WHL,CKD,POACHED",0.76,0,142,12.53,0.769999981,75.54,3.087,9.9
"EGG","EGG,WHL,CKD,SCRMBLD",2.2,0,167,11.09,1.730000019,73.15,3.679,12.21
"EGG","EGG,WHOLE,DRIED",4.95,0,594,47.35,3.079999924,3.1,12.727,40.95
"EGG","EGG,WHL,DRIED,STABILIZED,GLUCOSE RED",2.38,0,615,48.17,0,1.87,13.198,43.95
"EGG","EGG,WHITE,DRIED,FLAKES,GLUCOSE RED",4.17,0,351,76.92,4.170000076,14.62,0,0.04
"EGG","EGG,WHITE,DRIED,PDR,GLUCOSE RED",4.47,0,376,82.4,4.46999979,8.54,0,0.04
"EGG","EGG,YOLK,DRIED",3.6,0,666,34.25,3.599999905,2.95,17.154,55.8
"EGG","EGG,DUCK,WHOLE,FRESH,RAW",1.45,0,185,12.81,0.930000007,70.83,3.681,13.77
"EGG","EGG,GOOSE,WHOLE,FRESH,RAW",1.35,0,185,13.87,0.939999998,70.43,3.595,13.27
"EGG","EGG,QUAIL,WHOLE,FRESH,RAW",0.41,0,158,13.05,0.409999996,74.35,3.557,11.09
"EGG","EGG,TURKEY,WHL,FRSH,RAW",1.15,0,171,13.68,0,72.5,3.632,11.88
"EGG SUBSTITUTE","EGG SUBSTITUTE,FROZEN",3.2,0,160,11.29,3.200000048,73.1,1.93,11.11
"EGG SUBSTITUTE","EGG SUBSTITUTE,LIQUID",0.64,0,84,12,0.639999986,82.75,0.659,3.31
"EGG SUBSTITUTE","EGG SUBSTITUTE,POWDER",21.8,0,444,55.5,21.79999924,3.86,3.766,13
"BUTTER","BUTTER,WITHOUT SALT",0.06,0,717,0.85,0.059999999,17.94,51.368,81.11
"CHEESE","CHEESE,PARMESAN,SHREDDED",3.41,0,415,37.86,0,25,17.37,27.34
"CHEESE","CHEESE,PAST PROCESS,AMERICAN,WO/DI NA PO4",1.6,0,375,22.15,0.50999999,39.16,19.694,31.25
"CHEESE","CHEESE,PAST PROCESS,SWISS,WO/DI NA PO4",2.1,0,334,24.73,0,42.31,16.045,25.01
"CHEESE FD","CHEESE FD,PAST PROCESS,AMERICAN,W/DI NA PO4",7.29,0,328,19.61,7.429999828,43.15,15.443,24.6
"CHEESE SPRD","CHEESE SPRD,PAST PROCESS,AMERICAN,W/DI NA PO4",8.73,0,290,16.41,0,47.65,13.327,21.23
"MILK","MILK,NONFAT,FLUID,WO/ VIT A (FAT FREE OR SKIM)",4.85,0,35,3.41,5.090000153,90.8,0.117,0.18
"MILK","MILK,RED FAT,FLUID,2% MILKFAT,W/ NONFAT MILK SOL,WO/ VIT A",5.49,0,56,3.95,0,87.71,1.232,1.98
"MILK","MILK,CND,EVAP,W/ VIT A",10.04,0,134,6.81,0,74.04,4.591,7.56
"MILK","MILK,DRY,NONFAT,REG,W/ VIT A",51.98,0,362,36.16,51.97999954,3.16,0.499,0.77
"MILK","MILK,DRY,NONFAT,INST,WO/ VIT A",52.19,0,358,35.1,52.18999863,3.96,0.47,0.72
"CHEESE","CHEESE,GOAT,HARD TYPE",2.17,0,452,30.52,2.170000076,29.01,24.609,35.59
"CHEESE","CHEESE,GOAT,SEMISOFT TYPE",2.54,0,364,21.58,2.539999962,45.52,20.639,29.84
"CHEESE","CHEESE,GOAT,SOFT TYPE",0.89,0,268,18.52,0.889999986,60.75,14.575,21.08
"EGG","EGG,YOLK,RAW,FRZ,SALTED",1.6,0,274,14,0,50.8,7.028,23
"CHEESE SUB","CHEESE SUB,MOZZARELLA",23.67,0,248,11.47,23.67000008,47.36,3.711,12.22
"No Category","CHEESE FONDUE",3.77,0,229,14.23,0,61.61,8.721,13.47
"CHEESE SAU","CHEESE SAU,PREP FROM RECIPE",5.48,0.100000001,197,10.33,0,66.86,8.034,14.92
"CHEESE","CHEESE,MEXICAN,QUESO ANEJO",4.63,0,373,21.44,4.630000114,38.06,19.033,29.98
"CHEESE","CHEESE,MEXICAN,QUESO ASADERO",2.87,0,356,22.6,2.869999886,42.16,17.939,28.26
"CHEESE","CHEESE,MEXICAN,QUESO CHIHUAHUA",5.56,0,374,21.56,5.559999943,39.13,18.843,29.68
"CHEESE","CHEESE,LOFAT,CHEDDAR OR COLBY",1.91,0,173,24.35,0.519999981,63.1,4.342,7
"CHEESE","CHEESE,LOW-SODIUM,CHEDDAR OR COLBY",1.91,0,398,24.35,0.49000001,38.98,20.768,32.62
"EGG","EGG,WHOLE,RAW,FROZEN",1.05,0,148,11.95,0,75.85,3.147,10.2
"EGG","EGG,WHITE,RAW,FROZEN",1.05,0,47,9.8,0,88.55,0,0
"EGG","EGG,WHITE,DRIED",7.8,0,382,81.1,5.400000095,5.8,0,0
"SOUR CREAM","SOUR CREAM,REDUCED FAT",7,0,181,7,0.300000012,71,8.7,14.1
"SOUR CREAM","SOUR CREAM,LIGHT",7.1,0,136,3.5,0.219999999,78.1,6.6,10.6
"SOUR CREAM","SOUR CREAM,FAT FREE",15.6,0,74,3.1,0.389999986,80.6,0,0
"USDA COMMODITY","USDA COMMODITY,CHS,CHEDDAR,RED FAT",2,0,282,27.2,0.579999983,48.2,11.6,18.3
